pair,iso3_o,iso3_d,year,log_trade,fta,log_distance,common_language,contiguity,colony,log_gdp_o,log_gdp_d
IND_MDG,IND,MDG,2014,12.2948454166041,0,8.72534492491121,0,0,0,21.4339550008047,16.1832761419891
IND_MDG,IND,MDG,2015,12.1337958234896,0,8.72534492491121,0,0,0,21.4707833272373,16.0916133366869
IND_MDG,IND,MDG,2016,12.0932785804883,0,8.72534492491121,0,0,0,21.5401880545599,16.1171605066471
IND_MDG,IND,MDG,2017,12.5467880706521,0,8.72534492491121,0,0,0,21.6983811513497,16.393931350951
IND_MDG,IND,MDG,2018,12.4086523916858,0,8.72534492491121,0,0,0,21.717602102778,16.4266395359685
IND_MDG,IND,MDG,2019,12.5888802943845,0,8.72534492491121,0,0,0,21.7640908867597,16.4681827484501
IND_MDV,IND,MDV,2010,11.8477456949224,1,7.91534816926308,0,0,1,21.258857573921,14.5735578342858
IND_MDV,IND,MDV,2011,11.9673654820862,1,7.91534816926308,0,0,1,21.354590897407,14.5870021187018
IND_MDV,IND,MDV,2012,12.0015730603274,1,7.91534816926308,0,0,1,21.3431672290952,14.5637041316177
IND_MDV,IND,MDV,2013,11.965662448723,1,7.91534816926308,0,0,1,21.3528325234327,14.6483514490064
IND_MDV,IND,MDV,2014,12.062956367155,1,7.91534816926308,0,0,1,21.4339550008047,14.9450392253317
IND_MDV,IND,MDV,2015,12.3195769047089,1,7.91534816926308,0,0,1,21.4707833272373,15.0495986729532
IND_MDV,IND,MDV,2016,12.3767277970238,1,7.91534816926308,0,0,1,21.5401880545599,15.0939726578452
IND_MDV,IND,MDV,2017,12.4976302982095,1,7.91534816926308,0,0,1,21.6983811513497,15.3745339201179
IND_MDV,IND,MDV,2018,12.5014389410721,1,7.91534816926308,0,0,1,21.717602102778,15.4833989959912
IND_MDV,IND,MDV,2019,12.5864459679723,1,7.91534816926308,0,0,1,21.7640908867597,15.5396623788763
IND_MEX,IND,MEX,2010,13.8391242736327,0,9.59342352919122,0,0,0,21.258857573921,20.7736052251949
IND_MEX,IND,MEX,2011,14.4256376555311,0,9.59342352919122,0,0,0,21.354590897407,20.8803426695538
IND_MEX,IND,MEX,2012,14.5170399469515,0,9.59342352919122,0,0,0,21.3431672290952,20.8942406458674
IND_MEX,IND,MEX,2013,14.7363206712324,0,9.59342352919122,0,0,0,21.3528325234327,20.9551031724292
IND_MEX,IND,MEX,2014,14.9711168735727,0,9.59342352919122,0,0,0,21.4339550008047,20.9843975788715
IND_MEX,IND,MEX,2015,14.9600555623404,0,9.59342352919122,0,0,0,21.4707833272373,20.8639291812429
IND_MEX,IND,MEX,2016,15.098243175776,0,9.59342352919122,0,0,0,21.5401880545599,20.7682373631075
IND_MEX,IND,MEX,2017,15.2233962175676,0,9.59342352919122,0,0,0,21.6983811513497,20.8707483646631
IND_MEX,IND,MEX,2018,15.2482458060998,0,9.59342352919122,0,0,0,21.717602102778,20.9240886870085
IND_MEX,IND,MEX,2019,15.2498103261265,0,9.59342352919122,0,0,0,21.7640908867597,20.9618135539589
IND_MHL,IND,MHL,2010,5.32608816349339,0,9.21473072027748,1,0,0,21.258857573921,12.0071154323296
IND_MHL,IND,MHL,2011,6.24706560797073,0,9.21473072027748,1,0,0,21.354590897407,12.0607965762622
IND_MHL,IND,MHL,2012,4.57012315091052,0,9.21473072027748,1,0,0,21.3431672290952,12.1246386170853
IND_MHL,IND,MHL,2013,6.9725078397116,0,9.21473072027748,1,0,0,21.3528325234327,12.1595814447182
IND_MHL,IND,MHL,2014,5.94312215767248,0,9.21473072027748,1,0,0,21.4339550008047,12.1178647129533
IND_MHL,IND,MHL,2015,11.556921632469,0,9.21473072027748,1,0,0,21.4707833272373,12.0975549735172
IND_MHL,IND,MHL,2016,4.96131899154029,0,9.21473072027748,1,0,0,21.5401880545599,12.1172414318236
